,weight
gbpaud,0.05
chfaed,0.03447185239692844
gbpcad,0.028656030211058937
usdnok,0.022700862159954347
bundtreur,0.021102565907395718
chfils,0.021092804655986203
tjxususd,0.02035734291674295
tdyususd,0.02019254776822051
ukgilttrgbp,0.019943348884806172
usdpln,0.018088370026343663
ibkrususd,0.016678157162294666
acfreur,0.016283505460100302
crdagbgbx,0.016195830201421346
manhususd,0.015729703106687355
dhrususd,0.014232041857804086
cslususd,0.013499910162925018
fdsususd,0.01281090445516103
lgengbgbx,0.01257955704036445
nhynonok,0.012050682233146542
usdsek,0.011878875289042733
amatususd,0.011517055499647013
knxususd,0.011475853171978734
adiususd,0.011354893956911413
brbygbgbx,0.01105052767359959
usdtry,0.010793314259285121
0388hkhkd,0.010746769511128663
ehcususd,0.010719508924883596
acglususd,0.010491935412838754
agncususd,0.010214022686236708
tlsnsesek,0.009871838638986398
amznususd,0.00983153169445731
bagbgbx,0.009661445755945047
lenususd,0.009598720198567832
krususd,0.009419255469792007
gbpchf,0.009231921326703776
allyususd,0.009212248435569908
hkdjpy,0.008858667135580056
usdron,0.008752718822595772
zbhususd,0.008624871190762474
cbususd,0.008555979941210958
usa30idxusd,0.008195119514029585
usddkk,0.008012557333556013
kpnnleur,0.007891564784230243
ahnleur,0.007889778614005258
rdsanleur,0.00786413624284442
cboeususd,0.007726750352259514
eqtususd,0.0077002019437163605
usdzar,0.006885255571456038
rostususd,0.006729368074262554
elususd,0.006511879269834815
ivzususd,0.006443413809057164
mroususd,0.006217906558216089
wosgbgbx,0.006107305604148957
amtususd,0.006027318439755694
alkususd,0.006020862699060163
ebayususd,0.005938938310735299
aepususd,0.00582370819814438
gwwususd,0.005775183465808356
kbcbeeur,0.005749493582837666
etnususd,0.005697470811222309
aosususd,0.005687499966056428
ssegbgbx,0.005489170559243706
bnfreur,0.005459655089353073
azngbgbx,0.005413174270980028
dvnususd,0.005392144473948041
ppgususd,0.005364725530209114
kerfreur,0.005301251578008821
ote1vfieur,0.005215485380150871
tfcususd,0.0051317082576534685
pclnususd,0.004772103320498446
cptususd,0.00475905963495093
lowususd,0.004753866472194654
usdmxn,0.004569614730183735
umibeeur,0.00455490954522857
pbrususd,0.00434410094502518
algnususd,0.004323669462329001
twgbgbx,0.004303508827600592
arususd,0.004298699682337807
psaususd,0.004261887526617177
ficoususd,0.00415970253595561
alleususd,0.004100771199141234
exrususd,0.004053237393195713
weirgbgbx,0.0040041664247780296
iaggbgbx,0.0038760691317195326
nzymbdkdkk,0.0038196053604472096
ghususd,0.0037185579435948706
sjmususd,0.0037004770815430143
usdils,0.0035859815962587496
pltrususd,0.0033629637425161454
swedasesek,0.003334855103805641
usatechidxusd,0.003333259074123864
whrususd,0.00324469166659029
agsbeeur,0.003240584092826593
cahususd,0.003235235378749967
phianleur,0.0031273531180429108
feususd,0.003048867972067747
aalususd,0.0030128237093843186
tususd,0.0029775085304839855
rtxususd,0.0028567350372513903
avbususd,0.0028495701198661743
pncususd,0.0028343979586911024
kmbususd,0.0028281912001296354
aznususd,0.00282112019833135
lyvususd,0.00272813198158525
fbususd,0.002672652929064217
mksgbgbx,0.0026613449588434985
catususd,0.002612381097566518
jllususd,0.0024684361780748995
vow3deeur,0.0024278124371447927
matusd,0.00234506037602901
tprususd,0.0022737279575007117
lplaususd,0.00223447348361512
gpnususd,0.0021416603326838966
wklnleur,0.002073906559743022
adskususd,0.00199603943974675
iceususd,0.001962129256689092
alxnususd,0.0018640682981233292
hogususd,0.0018228377705813638
axtaususd,0.0018135278102603613
masiususd,0.0018022368777629695
tfxususd,0.0017631745308266098
kmiususd,0.0017273522943146162
ilmnususd,0.0017049243844728381
hpeususd,0.0016632366737260097
techususd,0.0016474797134415518
asmlnleur,0.0016371927081302961
ipgpususd,0.0015481474367480764
metususd,0.001491754591575066
nre1vfieur,0.0014782922674885675
hwmususd,0.0014528536264069507
tategbgbx,0.0014399746731321673
maususd,0.0014228020196213208
ebsateur,0.0014118342884338415
bacususd,0.0013978848919231348
kssususd,0.0012555825823339617
ipgususd,0.0012277284545463634
sgegbgbx,0.0012117542340020836
teamususd,0.0012066523389026407
abtususd,0.001172495517405656
ucbbeeur,0.0011661460768893483
vnadeeur,0.0011220732692823832
jpmususd,0.001091863541566987
gpsususd,0.0010788615895333616
bpgbgbx,0.0010673957226889402
abcususd,0.001065142359578059
amdususd,0.0010561672063119237
ewususd,0.001048961337939305
brkbususd,0.0010437994859966038
kususd,0.0010242580855277857
1177hkhkd,0.0009924445966289202
inganleur,0.0009902413670822155
nzdcad,0.0007790921015838199
sngbgbx,0.0007454733526790725
stervfieur,0.0007420389537983581
alksususd,0.0007204414690642212
nes1vfieur,0.0006975631599204718
hcnususd,0.0006907026712555067
mgmususd,0.000679343268036797
stjgbgbx,0.0006746119061044647
dfsususd,0.0006693188389911458
dhiususd,0.0006534799507285963
cvxususd,0.0006385862892850918
mkrusd,0.0006030015354879936
bdevgbgbx,0.0005570837475363501
apaususd,0.00051645661192673
mktxususd,0.0004697391142339682
yfiusd,0.0004425384712784623
adpususd,0.00043591769051484693
eogususd,0.0004195508455309186
rgaususd,0.00041870688599121385
ulvrgbgbx,0.0003632901506020697
stangbgbx,0.00035755114313537763
belgbeeur,0.0003280111351665886
mususd,0.00025833835637376664
honususd,0.0002538690282144652
mklususd,5.9643880315920086e-05
jciususd,5.760422646023328e-05
abibeeur,0.0
abevususd,0.0
acnususd,0.0
acafreur,0.0
acmususd,0.0
afgususd,0.0
caciususd,0.0
btgbgbx,0.0
itwususd,0.0
itubususd,0.0
isrgususd,0.0
irususd,0.0
idxxususd,0.0
intcususd,0.0
humususd,0.0
ibmususd,0.0
glwususd,0.0
gnrcususd,0.0
hkgidxhkd,0.0
hesususd,0.0
heianleur,0.0
hpqususd,0.0
glefreur,0.0
gisususd,0.0
googususd,0.0
halususd,0.0
ewbcususd,0.0
eurdkk,0.0
excususd,0.0
expeususd,0.0
fdxususd,0.0
fitbususd,0.0
fltususd,0.0
fndususd,0.0
ftvususd,0.0
fususd,0.0
gbridxgbp,0.0
geususd,0.0
tevaususd,0.0
tpkgbgbx,0.0
usdhuf,0.0
usdczk,0.0
usdcnh,0.0
tlwgbgbx,0.0
trvususd,0.0
tscogbgbx,0.0
eqhususd,0.0
eosusd,0.0
emrususd,0.0
engifreur,0.0
acxeseur,0.0
adbeususd,0.0
allususd,0.0
amgnususd,0.0
albususd,0.0
aigususd,0.0
agnnleur,0.0
kmxususd,0.0
jwnususd,0.0
keysususd,0.0
keyususd,0.0
kgfgbgbx,0.0
lngususd,0.0
koususd,0.0
khcususd,0.0
eixususd,0.0
ctshususd,0.0
cagususd,0.0
cciususd,0.0
cclususd,0.0
mksiususd,0.0
mmmususd,0.0
middususd,0.0
mhkususd,0.0
mhgnonok,0.0
mdtususd,0.0
luvususd,0.0
lususd,0.0
marususd,0.0
maerskbdkdkk,0.0
lwususd,0.0
matususd,0.0
mcdususd,0.0
mchpususd,0.0
mckususd,0.0
mdlzususd,0.0
lvsususd,0.0
efxususd,0.0
eaususd,0.0
dsmnleur,0.0
chiidxusd,0.0
copususd,0.0
cpigbgbx,0.0
elsususd,0.0
avtrususd,0.0
axpususd,0.0
aususd,0.0
avgbgbx,0.0
armkususd,0.0
nzdchf,0.0
amhususd,0.0
out1vfieur,0.0
rbsgbgbx,0.0
rbiateur,0.0
plnidxpln,0.0
pmususd,0.0
batsgbgbx,0.0
barcgbgbx,0.0
bbyususd,0.0
biibususd,0.0
babaususd,0.0
apdususd,0.0
amwlususd,0.0
ampususd,0.0
slagbgbx,0.0
sgdjpy,0.0
sbuxususd,0.0
rrcususd,0.0
svtgbgbx,0.0
sttususd,0.0
smingbgbx,0.0
solbbeeur,0.0
schwususd,0.0
sgdidxsgd,0.0
vkfreur,0.0
ustbondtrusd,0.0
vodgbgbx,0.0
aaususd,0.0
0857hkhkd,0.0
0883hkhkd,0.0
wppgbgbx,0.0
wtbgbgbx,0.0
xomususd,0.0
0700hkhkd,0.0
